"site","OTU_Label","display_label","Class","abund_weight","substrate_label","group","consistency","n_higher","n_lower","n_sig","seasons_higher","seasons_lower","mean_estimate"
"SELVA","Nolandella_ASV_19262","Nolandella_sp.","Elardia",0.00447937925031652,"wPET","Multi-substrate (3 substrates)","moderate",2,0,2,"Winter, Winter2","",4.22
"SELVA","OTU_ASV_12542","OTU_ASV_12542",NA,0.00454508396010712,"PE","Multi-substrate (2 substrates)","moderate",2,0,2,"Winter, Spring","",4.2
"SELVA","OTU_ASV_12542","OTU_ASV_12542",NA,0.00454508396010712,"wPET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.85
"SELVA","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"PE","Multi-substrate (3 substrates)","moderate",2,0,2,"Winter, Spring","",4.6
"SELVA","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"PET","Multi-substrate (3 substrates)","occasional",1,0,1,"Spring","",5.89
"SELVA","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"wPET","Multi-substrate (3 substrates)","moderate",2,0,2,"Winter, Winter2","",3.15
"SELVA","Pleurosigma_ASV_10232","Pleurosigma_sp.","Bacillariophyceae",0.00670476120668429,"PET","Multi-substrate (2 substrates)","moderate",2,0,2,"Spring, Winter2","",5.43
"SELVA","Pleurosigma_ASV_10232","Pleurosigma_sp.","Bacillariophyceae",0.00670476120668429,"wPET","Multi-substrate (2 substrates)","moderate",2,0,2,"Winter, Winter2","",3.73
"SELVA","Pleurosigma_ASV_10236","Pleurosigma_intermedium","Bacillariophyceae",0.00563354744695381,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.17
"SELVA","Pleurosigma_ASV_10236","Pleurosigma_intermedium","Bacillariophyceae",0.00563354744695381,"wPET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.82
"SELVA","Spirotrichea_ASV_33143","Spirotrichea_ASV_33143","Spirotrichea",0.0606321955611392,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",4.22
"SELVA","Spirotrichea_ASV_33143","Spirotrichea_ASV_33143","Spirotrichea",0.0606321955611392,"wPET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter2","",6.83
