"OTU_Label","OTU_ID","Cluster","Division","Class","Order","Family","Genus","Species"
"Mytilus_ASV_18471","ASV_18471","C2","Opisthokonta","Mollusca","Bivalvia","Mytiloida","Mytilus","Mytilus_trossulus"
"Bacillariophyceae_ASV_9867","ASV_9867","C1","Stramenopiles","Bacillariophyceae",NA,NA,NA,NA
"Phaeophyceae_XX_ASV_8454","ASV_8454","C1","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA
"Scytosiphon_ASV_8447","ASV_8447","C5","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Scytosiphon","Scytosiphon_lomentaria"
"Stypopodium_ASV_10934","ASV_10934","C5","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Stypopodium","Stypopodium_sp."
"Desmarestia_ASV_10940","ASV_10940","C5","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Desmarestia","Desmarestia_viridis"
"Phaeophyceae_XX_ASV_8507","ASV_8507","C1","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA
"Bacillariaceae_ASV_10168","ASV_10168","C2","Stramenopiles","Bacillariophyceae","Bacillariales","Bacillariaceae",NA,NA
"Disporella_ASV_17008","ASV_17008","C4","Opisthokonta","Bryozoa","Bryozoa_X","Bryozoa_XX","Disporella",NA
"Spirotrichea_ASV_29934","ASV_29934","C5","Alveolata","Spirotrichea","Hypotrichia",NA,NA,NA
"Pterocystidae_ASV_21676","ASV_21676","C2","Centroplasthelida","Pterocystida","Pterista","Pterocystidae",NA,NA
"Prolecithophora_ASV_18418","ASV_18418","C2","Opisthokonta","Platyhelminthes","Turbellaria","Prolecithophora",NA,NA
"Loxophyllum_ASV_32660","ASV_32660","C3","Alveolata","Litostomatea","Haptoria_5","Pleurostomatida","Loxophyllum","Loxophyllum_perihoplophorum"
"OTU_ASV_8306","ASV_8306","C2","Stramenopiles",NA,NA,NA,NA,NA
"Maxillopoda_ASV_13839","ASV_13839","C4","Opisthokonta","Arthropoda","Crustacea","Maxillopoda",NA,NA
