"site","OTU_Label","display_label","Class","abund_weight","substrate_label","ever_higher","ever_lower","n_higher","n_lower","n_sig","n_conditions_tested","prop_sig","mean_estimate","seasons_higher","seasons_lower","is_mixed","is_higher","is_lower","consistency"
"SELVA","OTU_ASV_14103","OTU_ASV_14103",NA,0.0060654511777465,"PET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_14103","OTU_ASV_14103",NA,0.0060654511777465,"wPET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_15511","OTU_ASV_15511",NA,0.00888351242421432,"PE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_15511","OTU_ASV_15511",NA,0.00888351242421432,"wPE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_15511","OTU_ASV_15511",NA,0.00888351242421432,"PET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_15511","OTU_ASV_15511",NA,0.00888351242421432,"wPET",TRUE,FALSE,1,0,1,5,0.2,2.74,"Winter","",FALSE,TRUE,FALSE,"occasional"
"SELVA","OTU_ASV_16598","OTU_ASV_16598",NA,0.00440358662701965,"PE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_16598","OTU_ASV_16598",NA,0.00440358662701965,"wPE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_16598","OTU_ASV_16598",NA,0.00440358662701965,"PET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_16598","OTU_ASV_16598",NA,0.00440358662701965,"wPET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_16900","OTU_ASV_16900",NA,0.00485550086908838,"PE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_16900","OTU_ASV_16900",NA,0.00485550086908838,"wPE",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_16900","OTU_ASV_16900",NA,0.00485550086908838,"PET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
"SELVA","OTU_ASV_16900","OTU_ASV_16900",NA,0.00485550086908838,"wPET",FALSE,FALSE,0,0,0,5,0,NA,"","",FALSE,FALSE,FALSE,"none"
